bag_number,date,region,stratum,sector,subsector,site,abraded,edge_damage,technological_class,completeness,size_class,cortex,platform_type,blade_section,retouched_tool_type,retouch_mode,sheen,count,length,width,thickness,total,notes
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,3,1,1,1,2,,,,,1,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,3,2,1,1,0,,,,,1,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,3,1,1,3,2,,,,,1,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,3,2,1,1,2,,,,,1,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,3,1,1,2,2,,,,,1,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,3,1,1,1,2,,,,,1,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,3,3,2,1,1,2,,,,,1,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,3,2,1,1,2,,,,,1,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,3,2,1,2,,,,,,1,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,3,2,1,1,2,,,,,1,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,3,2,1,1,2,,,,,1,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,3,2,1,1,0,,,,,1,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,4,2,2,1,0,1,,,,1,31,16.8,5.1,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,5,2,1,1,2,2,,,,1,15.4,9,2,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,4,2,1,1,3,1,,,,1,10.1,13.6,3.6,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,5,2,1,2,0,3,,,,1,16.4,9.8,2.6,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,3,5,2,1,1,0,1,,,,1,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,5,2,1,1,0,2,,,,1,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,3,5,2,1,1,2,3,,,,1,20.5,9.6,5.1,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,5,1,1,1,3,1,1,,,1,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,3,2,2,1,0,,,,,1,0,0,0,2760,
413,12/31/1991,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,3,2,2,1,0,,8,A,,1,0,0,0,2760,
405,12/31/1993,Serpis,XIII,XIII-23,XIII-23-1,,1,2,6,,1,,,,,,,1,0,0,0,2760,X. vilaplana
405,12/31/1993,Serpis,XIII,XIII-23,XIII-23-1,,1,2,3,2,2,1,2,,,,,1,0,0,0,2760,X. vilaplana
405,12/31/1993,Serpis,XIII,XIII-23,XIII-23-1,,1,2,3,2,2,1,0,,,,,1,0,0,0,2760,X. vilaplana
405,12/31/1993,Serpis,XIII,XIII-23,XIII-23-1,,1,2,1.3,2,2,1,,,,,,1,0,0,0,2760,X. vilaplana
405,12/31/1993,Serpis,XIII,XIII-23,XIII-23-1,,1,3,4,2,2,2,0,1,,,,1,0,0,0,2760,X. vilaplana
405,12/31/1993,Serpis,XIII,XIII-23,XIII-23-1,,1,2,3,1,2,1,2,,14,S,,1,0,0,0,2760,X. vilaplana
405,12/31/1993,Serpis,XIII,XIII-23,XIII-23-1,,1,2,3,1,2,1,2,,5,S,,1,0,0,0,2760,X. vilaplana
404,12/31/1993,Serpis,XIII,XIII-23,XIII-23-5,,1,2,6,,2,,,,,,,1,0,0,0,2760,X. vilaplana (Ramon Font)
404,12/31/1993,Serpis,XIII,XIII-23,XIII-23-5,,1,2,6,,1,,,,,,,2,0,0,0,2760,X. vilaplana (Ramon Font)
404,12/31/1993,Serpis,XIII,XIII-23,XIII-23-5,,1,2,3,2,1,1,2,,,,,1,0,0,0,2760,X. vilaplana (Ramon Font)
411,,Serpis,XIII,XIII-7,,AC-88?,1,3,3,1,2,1,2,,,,,1,0,0,0,2760,
411,,Serpis,XIII,XIII-7,,AC-88?,1,2,1.3,2,1,1,,,,,,1,0,0,0,2760,
411,,Serpis,XIII,XIII-7,,AC-88?,1,3,1.2,1,2,1,,,,,,1,0,0,0,2760,
393,12/31/1988,Serpis,XIV,XIV-10,,,1,2,6,,2,,,,,,,2,0,0,0,2760,
393,12/31/1988,Serpis,XIV,XIV-10,,,2,,6,,1,,,,,,,1,0,0,0,2760,
393,12/31/1988,Serpis,XIV,XIV-10,,,1,2,6,,1,,,,,,,2,0,0,0,2760,
393,12/31/1988,Serpis,XIV,XIV-10,,,1,3,1.2,2,2,1,,,,,,1,0,0,0,2760,
393,12/31/1988,Serpis,XIV,XIV-10,,,1,2,3,2,1,2,2,,,,,1,0,0,0,2760,
393,12/31/1988,Serpis,XIV,XIV-10,,,1,2,5,2,1,1,3,2,,,,1,17.2,10.5,3.3,2760,
395,,Serpis,XIV,XIV-10,,,2,,6,,2,,,,,,,4,0,0,0,2760,
395,,Serpis,XIV,XIV-10,,,1,2,6,,2,,,,,,,1,0,0,0,2760,
395,,Serpis,XIV,XIV-10,,,1,2,6,,1,,,,,,,1,0,0,0,2760,
391,12/31/1991,Serpis,XIV,XIV-11,XIV-11-10,AC-75,1,2,6,,1,,,,,,,16,0,0,0,2760,
391,12/31/1991,Serpis,XIV,XIV-11,XIV-11-10,AC-75,1,2,6,,2,,,,,,,7,0,0,0,2760,
391,12/31/1991,Serpis,XIV,XIV-11,XIV-11-10,AC-75,1,2,6,,3,,,,,,,1,0,0,0,2760,
391,12/31/1991,Serpis,XIV,XIV-11,XIV-11-10,AC-75,1,2,1.1,2,2,1,,,,,,1,0,0,0,2760,
391,12/31/1991,Serpis,XIV,XIV-11,XIV-11-10,AC-75,1,2,5,2,1,1,0,2,,,,1,10,10.5,3.8,2760,
391,12/31/1991,Serpis,XIV,XIV-11,XIV-11-10,AC-75,1,2,?,2,1,1,0,,13,P,,1,0,0,0,2760,
391,12/31/1991,Serpis,XIV,XIV-11,XIV-11-10,AC-75,1,3,3,2,2,1,0,,,,,1,0,0,0,2760,
391,12/31/1991,Serpis,XIV,XIV-11,XIV-11-10,AC-75,1,2,3,1,2,1,2,,,,,1,0,0,0,2760,
391,12/31/1991,Serpis,XIV,XIV-11,XIV-11-10,AC-75,1,2,3,1,2,1,2,,,,,1,0,0,0,2760,
391,12/31/1991,Serpis,XIV,XIV-11,XIV-11-10,AC-75,1,2,3,2,2,1,2,,,,,1,0,0,0,2760,
