REGION,DATE,AREA,SECTOR,SSECTOR,SITE,COUNT,EROS,LABIO,BORDE,CUELLO,GALBO,BASE,PRENSION,DEC_1,DEC_2,DEC_3,BOLSA,MICRO,PSDA,TOTAL_CERA
serpis,10/22/1995,BP,BP-4,BP-4-5,AC-44 (06),1,0,32,,,,,,,,,96,,2,3301
serpis,10/22/1995,BP,BP-4,BP-4-5,AC-44 (06),1,0,,,,,,18,,,,96,,2,3301
serpis,10/22/1995,BP,BP-4,BP-4-5,AC-44 (06),1,0,,,,,,11,,,,96,,2,3301
serpis,10/22/1995,BP,BP-4,BP-4-5,AC-44 (06),1,0,1,2,,,,,6,,,96,,2,3301
serpis,10/22/1995,BP,BP-4,BP-4-5,AC-44 (06),1,0,1,0,,,,,,,,96,,2,3301
serpis,10/22/1995,BP,BP-4,BP-4-5,AC-44 (06),1,0,51,0,,,,,7,,,96,,2,3301
serpis,10/22/1995,BP,BP-4,BP-4-5,AC-44 (06),4,0,1,0,,,,,,,,96,,2,3301
serpis,10/22/1995,BP,BP-4,BP-4-5,AC-44 (06),1,0,,,,1,,,5,,,96,,2,3301
serpis,10/22/1995,BP,BP-4,BP-4-5,AC-44 (06),1,0,,,,1,,1,2.1,,,96,,2,3301
serpis,10/22/1995,BP,BP-4,BP-4-5,AC-44(06),1,0,,,,1,,3,,,,96,,2,3301
serpis,10/22/1995,BP,BP-4,BP-4-19,AC-44,36,3,,,,1,,,,,,97,,2,3301
serpis,10/22/1995,BP,BP-4,BP-4-19,AC-44,1,0,,,,1,,3,,,,97,,2,3301
serpis,10/22/1995,BP,BP-4,BP-4-19,AC-44,1,0,,,,1,,1,2.1,,,97,,2,3301
serpis,10/22/1995,BP,BP-4,BP-4-19,AC-44,1,0,1,0,,,,,,,,97,,2,3301
serpis,10/22/1995,BP,BP-4,BP-4-19,AC-44,1,0,1,0,,,,1,2.1,,,97,,2,3301
serpis,10/12/1995,BP,BP-4,BP-4-6,AC-44,67,4,,,,1,,,,,,98,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-6,AC-44,2,0,32,0,,,,,,,,98,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-6,AC-44,1,0,,,,,4.1,,,,,98,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-6,AC-44,1,1,1,0,,,,,,,,98,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-6,AC-44,1,0,,,,1,,1,2.1,,,98,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-6,AC-44,1,0,,,,1,,1,2.2,,,98,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-6,AC-44,1,0,,,,1,,1,3.1,2.3,,98,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-6,AC-44,1,0,,,,1,,,6,,,98,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-6,AC-44,1,0,,,,1,,11,,,,98,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-6,AC-44,1,0,,,,1,,,3.1,,,98,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-6,AC-44,1,0,1,0,,,,,3.1,8,,98,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-4,AC-44,76,4,,,,1,,,,,,99,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-4,AC-44,1,0,,,,2,,,,,,99,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-4,AC-44,1,1,,,,1,,,3.1,,,99,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-4,AC-44,1,0,,,,1,,,2.1,,,99,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-4,AC-44,3,0,,,,1,,,7,,,99,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-4,AC-44,1,0,2,0,,,,,,,,99,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-4,AC-44,1,0,32,0,,,,,,,,99,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-4,AC-44,4,0,1,0,,,,,,,,99,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-4,AC-44,1,0,1,1,,,,,,,,99,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-4,AC-44,1,0,1,1,,,,1,2.1,,,99,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-4,AC-44,1,0,,,,,,15,,,,99,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-4,AC-44,1,0,,,,,,12,,,,99,,1,3301
